feature_type,task,held_out_subject,n_classes,acc,f1_macro,eval,model
erp,phoneme_identity,sub-S01,11,0.13478260869565217,0.09716234477686919,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S02,11,0.09946236559139784,0.056369574437065785,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S03,11,0.05526315789473684,0.04039186625956113,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S04,11,0.09473684210526316,0.09243374751482393,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S05,11,0.11842105263157894,0.09938467049905995,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S06,11,0.12894736842105264,0.09807538648568244,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S07,11,0.16842105263157894,0.15062736703128635,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S08,11,0.11578947368421053,0.0841400650977892,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S09,11,0.09210526315789473,0.08651754568885973,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S10,11,0.1394736842105263,0.07269704760585241,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S11,11,0.1631578947368421,0.046050519316923874,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S12,11,0.10526315789473684,0.07537894081851836,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S13,11,0.04923076923076923,0.033119283302214614,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S14,11,0.05789473684210526,0.028230602143645624,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S15,11,0.07105263157894737,0.0625193002722224,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S16,11,0.07631578947368421,0.06086901079841702,LOSO_NULL,lr_mean_std
erp,place,sub-S01,2,0.5277777777777778,0.5151937640609652,LOSO_NULL,lr_mean_std
erp,place,sub-S02,2,0.5625,0.4355370315470066,LOSO_NULL,lr_mean_std
erp,place,sub-S03,2,0.5821428571428572,0.5277837837837838,LOSO_NULL,lr_mean_std
erp,place,sub-S04,2,0.525,0.5183091668714672,LOSO_NULL,lr_mean_std
erp,place,sub-S05,2,0.475,0.4584139264990329,LOSO_NULL,lr_mean_std
erp,place,sub-S06,2,0.46785714285714286,0.4165932513878984,LOSO_NULL,lr_mean_std
erp,place,sub-S07,2,0.4785714285714286,0.4707679560872042,LOSO_NULL,lr_mean_std
erp,place,sub-S08,2,0.4928571428571429,0.4775021026072329,LOSO_NULL,lr_mean_std
erp,place,sub-S09,2,0.5071428571428571,0.45580530674328207,LOSO_NULL,lr_mean_std
erp,place,sub-S10,2,0.5607142857142857,0.3805643986402633,LOSO_NULL,lr_mean_std
erp,place,sub-S11,2,0.5571428571428572,0.532730404823428,LOSO_NULL,lr_mean_std
erp,place,sub-S12,2,0.5535714285714286,0.5382524835419993,LOSO_NULL,lr_mean_std
erp,place,sub-S13,2,0.492,0.44743208200630014,LOSO_NULL,lr_mean_std
erp,place,sub-S14,2,0.43214285714285716,0.3069630598234717,LOSO_NULL,lr_mean_std
erp,place,sub-S15,2,0.5714285714285714,0.41139373554761405,LOSO_NULL,lr_mean_std
erp,place,sub-S16,2,0.5035714285714286,0.5007632216934542,LOSO_NULL,lr_mean_std
erp,manner,sub-S01,2,0.7555555555555555,0.4890322580645161,LOSO_NULL,lr_mean_std
erp,manner,sub-S02,2,0.7536764705882353,0.541638371186398,LOSO_NULL,lr_mean_std
erp,manner,sub-S03,2,0.5178571428571429,0.48472580051527425,LOSO_NULL,lr_mean_std
erp,manner,sub-S04,2,0.6035714285714285,0.5442748427396296,LOSO_NULL,lr_mean_std
erp,manner,sub-S05,2,0.7357142857142858,0.5694455988695869,LOSO_NULL,lr_mean_std
erp,manner,sub-S06,2,0.8214285714285714,0.6015482695810566,LOSO_NULL,lr_mean_std
erp,manner,sub-S07,2,0.7214285714285714,0.5324942203955818,LOSO_NULL,lr_mean_std
erp,manner,sub-S08,2,0.6821428571428572,0.5517904998291336,LOSO_NULL,lr_mean_std
erp,manner,sub-S09,2,0.5035714285714286,0.46295759683183624,LOSO_NULL,lr_mean_std
erp,manner,sub-S10,2,0.625,0.5114250103863731,LOSO_NULL,lr_mean_std
erp,manner,sub-S11,2,0.7071428571428572,0.5008695652173913,LOSO_NULL,lr_mean_std
erp,manner,sub-S12,2,0.5285714285714286,0.47690217391304346,LOSO_NULL,lr_mean_std
erp,manner,sub-S13,2,0.488,0.4117647058823529,LOSO_NULL,lr_mean_std
erp,manner,sub-S14,2,0.5928571428571429,0.45188543169173706,LOSO_NULL,lr_mean_std
erp,manner,sub-S15,2,0.3,0.2769433465085639,LOSO_NULL,lr_mean_std
erp,manner,sub-S16,2,0.7928571428571428,0.6354166666666666,LOSO_NULL,lr_mean_std
erp,voicing,sub-S01,2,0.45,0.3956043956043956,LOSO_NULL,lr_mean_std
erp,voicing,sub-S02,2,0.4444444444444444,0.41558441558441556,LOSO_NULL,lr_mean_std
erp,voicing,sub-S03,2,0.575,0.45117029862792574,LOSO_NULL,lr_mean_std
erp,voicing,sub-S04,2,0.4125,0.3965655593002728,LOSO_NULL,lr_mean_std
erp,voicing,sub-S05,2,0.5375,0.4280193236714976,LOSO_NULL,lr_mean_std
erp,voicing,sub-S06,2,0.5125,0.5105882352941176,LOSO_NULL,lr_mean_std
erp,voicing,sub-S07,2,0.55,0.48717948717948717,LOSO_NULL,lr_mean_std
erp,voicing,sub-S08,2,0.55,0.37877480586712686,LOSO_NULL,lr_mean_std
erp,voicing,sub-S09,2,0.45,0.43262411347517726,LOSO_NULL,lr_mean_std
erp,voicing,sub-S10,2,0.4125,0.41019607843137257,LOSO_NULL,lr_mean_std
erp,voicing,sub-S11,2,0.5375,0.34959349593495936,LOSO_NULL,lr_mean_std
erp,voicing,sub-S12,2,0.4875,0.47762382544991244,LOSO_NULL,lr_mean_std
erp,voicing,sub-S13,2,0.55,0.3548387096774194,LOSO_NULL,lr_mean_std
erp,voicing,sub-S14,2,0.475,0.375,LOSO_NULL,lr_mean_std
erp,voicing,sub-S15,2,0.5875,0.5146166574738004,LOSO_NULL,lr_mean_std
erp,voicing,sub-S16,2,0.525,0.49967083607636603,LOSO_NULL,lr_mean_std
erp,category,sub-S01,2,0.7652173913043478,0.6138539982589231,LOSO_NULL,lr_mean_std
erp,category,sub-S02,2,0.5483870967741935,0.46878824969400246,LOSO_NULL,lr_mean_std
erp,category,sub-S03,2,0.44473684210526315,0.4423230742479569,LOSO_NULL,lr_mean_std
erp,category,sub-S04,2,0.46578947368421053,0.46560813572472654,LOSO_NULL,lr_mean_std
erp,category,sub-S05,2,0.5894736842105263,0.5789772727272727,LOSO_NULL,lr_mean_std
erp,category,sub-S06,2,0.65,0.5063247863247864,LOSO_NULL,lr_mean_std
erp,category,sub-S07,2,0.6368421052631579,0.5870085685483871,LOSO_NULL,lr_mean_std
erp,category,sub-S08,2,0.5736842105263158,0.5315211104684789,LOSO_NULL,lr_mean_std
erp,category,sub-S09,2,0.45526315789473687,0.4494642319725082,LOSO_NULL,lr_mean_std
erp,category,sub-S10,2,0.7263157894736842,0.43876391729152464,LOSO_NULL,lr_mean_std
erp,category,sub-S11,2,0.7342105263157894,0.4233687405159332,LOSO_NULL,lr_mean_std
erp,category,sub-S12,2,0.6473684210526316,0.5690443142963539,LOSO_NULL,lr_mean_std
erp,category,sub-S13,2,0.40615384615384614,0.39401404708769283,LOSO_NULL,lr_mean_std
erp,category,sub-S14,2,0.2657894736842105,0.2168421052631579,LOSO_NULL,lr_mean_std
erp,category,sub-S15,2,0.49736842105263157,0.4840736712657895,LOSO_NULL,lr_mean_std
erp,category,sub-S16,2,0.42894736842105263,0.37977149476122785,LOSO_NULL,lr_mean_std
erp,complexity,sub-S01,3,0.49130434782608695,0.4491154356479434,LOSO_NULL,lr_mean_std
erp,complexity,sub-S02,3,0.3064516129032258,0.2744637141537867,LOSO_NULL,lr_mean_std
erp,complexity,sub-S03,3,0.5605263157894737,0.2643495218020963,LOSO_NULL,lr_mean_std
erp,complexity,sub-S04,3,0.65,0.5605079115307282,LOSO_NULL,lr_mean_std
erp,complexity,sub-S05,3,0.5473684210526316,0.43098256842332666,LOSO_NULL,lr_mean_std
erp,complexity,sub-S06,3,0.40789473684210525,0.3646171168224095,LOSO_NULL,lr_mean_std
erp,complexity,sub-S07,3,0.45789473684210524,0.39685428330361555,LOSO_NULL,lr_mean_std
erp,complexity,sub-S08,3,0.13421052631578947,0.11906195705894825,LOSO_NULL,lr_mean_std
erp,complexity,sub-S09,3,0.5710526315789474,0.42787577639751556,LOSO_NULL,lr_mean_std
erp,complexity,sub-S10,3,0.2394736842105263,0.16940416277886872,LOSO_NULL,lr_mean_std
erp,complexity,sub-S11,3,0.27631578947368424,0.24865594650835568,LOSO_NULL,lr_mean_std
erp,complexity,sub-S12,3,0.55,0.4607132441778112,LOSO_NULL,lr_mean_std
erp,complexity,sub-S13,3,0.4369230769230769,0.3190110222421946,LOSO_NULL,lr_mean_std
erp,complexity,sub-S14,3,0.40789473684210525,0.28525258968378947,LOSO_NULL,lr_mean_std
erp,complexity,sub-S15,3,0.22631578947368422,0.16599159785600462,LOSO_NULL,lr_mean_std
erp,complexity,sub-S16,3,0.2736842105263158,0.1997880424637655,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S01,11,0.11304347826086956,0.09391055461704668,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S02,11,0.1532258064516129,0.1225729158229666,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S03,11,0.0868421052631579,0.07041605529170189,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S04,11,0.17894736842105263,0.1083035372593924,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S05,11,0.1368421052631579,0.09987887746237006,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S06,11,0.15,0.03961038961038961,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S07,11,0.11315789473684211,0.10196776944833111,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S08,11,0.09473684210526316,0.06073259905596044,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S09,11,0.06842105263157895,0.054553843728185364,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S10,11,0.10789473684210527,0.08877234932677952,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S11,11,0.16052631578947368,0.11624409774709359,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S12,11,0.13157894736842105,0.10131580226286055,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S13,11,0.1476923076923077,0.12921191885548813,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S14,11,0.1736842105263158,0.10640756932593319,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S15,11,0.13421052631578947,0.12471417283093147,LOSO_NULL,lr_mean_std
dda,phoneme_identity,sub-S16,11,0.10526315789473684,0.08777478049625514,LOSO_NULL,lr_mean_std
dda,place,sub-S01,2,0.5111111111111111,0.41167731392066553,LOSO_NULL,lr_mean_std
dda,place,sub-S02,2,0.5220588235294118,0.49404761904761907,LOSO_NULL,lr_mean_std
dda,place,sub-S03,2,0.525,0.4661008444323379,LOSO_NULL,lr_mean_std
dda,place,sub-S04,2,0.5892857142857143,0.5888609405125194,LOSO_NULL,lr_mean_std
dda,place,sub-S05,2,0.5357142857142857,0.5228357191547375,LOSO_NULL,lr_mean_std
dda,place,sub-S06,2,0.5535714285714286,0.43328097929046777,LOSO_NULL,lr_mean_std
dda,place,sub-S07,2,0.5821428571428572,0.5551270386615788,LOSO_NULL,lr_mean_std
dda,place,sub-S08,2,0.5428571428571428,0.5323346729996347,LOSO_NULL,lr_mean_std
dda,place,sub-S09,2,0.5071428571428571,0.42826704545454547,LOSO_NULL,lr_mean_std
dda,place,sub-S10,2,0.49642857142857144,0.4923818707810993,LOSO_NULL,lr_mean_std
dda,place,sub-S11,2,0.55,0.5424361900809296,LOSO_NULL,lr_mean_std
dda,place,sub-S12,2,0.46785714285714286,0.46588828718106284,LOSO_NULL,lr_mean_std
dda,place,sub-S13,2,0.484,0.4682692783301182,LOSO_NULL,lr_mean_std
dda,place,sub-S14,2,0.5142857142857142,0.5093795093795094,LOSO_NULL,lr_mean_std
dda,place,sub-S15,2,0.4714285714285714,0.4711857485580113,LOSO_NULL,lr_mean_std
dda,place,sub-S16,2,0.5,0.4993614303959132,LOSO_NULL,lr_mean_std
dda,manner,sub-S01,2,0.6833333333333333,0.5610695187165775,LOSO_NULL,lr_mean_std
dda,manner,sub-S02,2,0.7977941176470589,0.6433254655127196,LOSO_NULL,lr_mean_std
dda,manner,sub-S03,2,0.36428571428571427,0.3523571911221997,LOSO_NULL,lr_mean_std
dda,manner,sub-S04,2,0.7714285714285715,0.5763593380614658,LOSO_NULL,lr_mean_std
dda,manner,sub-S05,2,0.7392857142857143,0.5657623589896115,LOSO_NULL,lr_mean_std
dda,manner,sub-S06,2,0.8107142857142857,0.5619705422237964,LOSO_NULL,lr_mean_std
dda,manner,sub-S07,2,0.7214285714285714,0.6354166666666666,LOSO_NULL,lr_mean_std
dda,manner,sub-S08,2,0.7357142857142858,0.640677025527192,LOSO_NULL,lr_mean_std
dda,manner,sub-S09,2,0.3821428571428571,0.37634380914369586,LOSO_NULL,lr_mean_std
dda,manner,sub-S10,2,0.7678571428571429,0.6012182563158701,LOSO_NULL,lr_mean_std
dda,manner,sub-S11,2,0.7178571428571429,0.5784980658930239,LOSO_NULL,lr_mean_std
dda,manner,sub-S12,2,0.7607142857142857,0.5953320822278306,LOSO_NULL,lr_mean_std
dda,manner,sub-S13,2,0.756,0.6373451285343987,LOSO_NULL,lr_mean_std
dda,manner,sub-S14,2,0.8535714285714285,0.6333556896937178,LOSO_NULL,lr_mean_std
dda,manner,sub-S15,2,0.6964285714285714,0.5809195118944903,LOSO_NULL,lr_mean_std
dda,manner,sub-S16,2,0.775,0.6006791171477079,LOSO_NULL,lr_mean_std
dda,voicing,sub-S01,2,0.4,0.38618925831202044,LOSO_NULL,lr_mean_std
dda,voicing,sub-S02,2,0.4444444444444444,0.42261427425821974,LOSO_NULL,lr_mean_std
dda,voicing,sub-S03,2,0.525,0.5202020202020202,LOSO_NULL,lr_mean_std
dda,voicing,sub-S04,2,0.45,0.3103448275862069,LOSO_NULL,lr_mean_std
dda,voicing,sub-S05,2,0.425,0.39433838051349573,LOSO_NULL,lr_mean_std
dda,voicing,sub-S06,2,0.5375,0.48744588744588746,LOSO_NULL,lr_mean_std
dda,voicing,sub-S07,2,0.425,0.3866666666666667,LOSO_NULL,lr_mean_std
dda,voicing,sub-S08,2,0.525,0.45868945868945865,LOSO_NULL,lr_mean_std
dda,voicing,sub-S09,2,0.3875,0.35088590826295746,LOSO_NULL,lr_mean_std
dda,voicing,sub-S10,2,0.5625,0.5540691192865106,LOSO_NULL,lr_mean_std
dda,voicing,sub-S11,2,0.5625,0.42611190817790534,LOSO_NULL,lr_mean_std
dda,voicing,sub-S12,2,0.5,0.4996873045653534,LOSO_NULL,lr_mean_std
dda,voicing,sub-S13,2,0.4625,0.4140691534661897,LOSO_NULL,lr_mean_std
dda,voicing,sub-S14,2,0.4625,0.46241600250039067,LOSO_NULL,lr_mean_std
dda,voicing,sub-S15,2,0.5,0.4996873045653534,LOSO_NULL,lr_mean_std
dda,voicing,sub-S16,2,0.55,0.513184584178499,LOSO_NULL,lr_mean_std
dda,category,sub-S01,2,0.7347826086956522,0.7013050605692874,LOSO_NULL,lr_mean_std
dda,category,sub-S02,2,0.7043010752688172,0.657114127702363,LOSO_NULL,lr_mean_std
dda,category,sub-S03,2,0.47368421052631576,0.46717518718976975,LOSO_NULL,lr_mean_std
dda,category,sub-S04,2,0.7421052631578947,0.5930054644808743,LOSO_NULL,lr_mean_std
dda,category,sub-S05,2,0.75,0.6654898581343415,LOSO_NULL,lr_mean_std
dda,category,sub-S06,2,0.7394736842105263,0.44407500997473065,LOSO_NULL,lr_mean_std
dda,category,sub-S07,2,0.55,0.5494727208436467,LOSO_NULL,lr_mean_std
dda,category,sub-S08,2,0.4921052631578947,0.49151014691709827,LOSO_NULL,lr_mean_std
dda,category,sub-S09,2,0.5157894736842106,0.5157760602786781,LOSO_NULL,lr_mean_std
dda,category,sub-S10,2,0.6815789473684211,0.6237285084165991,LOSO_NULL,lr_mean_std
dda,category,sub-S11,2,0.7315789473684211,0.6102799227799228,LOSO_NULL,lr_mean_std
dda,category,sub-S12,2,0.6763157894736842,0.6671675057501549,LOSO_NULL,lr_mean_std
dda,category,sub-S13,2,0.6615384615384615,0.6130952380952381,LOSO_NULL,lr_mean_std
dda,category,sub-S14,2,0.7421052631578947,0.5084217751729236,LOSO_NULL,lr_mean_std
dda,category,sub-S15,2,0.6368421052631579,0.6036281179138322,LOSO_NULL,lr_mean_std
dda,category,sub-S16,2,0.6710526315789473,0.5946234264988266,LOSO_NULL,lr_mean_std
dda,complexity,sub-S01,3,0.808695652173913,0.7099891365292964,LOSO_NULL,lr_mean_std
dda,complexity,sub-S02,3,0.6774193548387096,0.5839600487015408,LOSO_NULL,lr_mean_std
dda,complexity,sub-S03,3,0.37105263157894736,0.3105473860615249,LOSO_NULL,lr_mean_std
dda,complexity,sub-S04,3,0.3236842105263158,0.25878494274720687,LOSO_NULL,lr_mean_std
dda,complexity,sub-S05,3,0.7947368421052632,0.7788381923494788,LOSO_NULL,lr_mean_std
dda,complexity,sub-S06,3,0.25263157894736843,0.16531786023311446,LOSO_NULL,lr_mean_std
dda,complexity,sub-S07,3,0.6842105263157895,0.4629780625121336,LOSO_NULL,lr_mean_std
dda,complexity,sub-S08,3,0.7684210526315789,0.5638994094002583,LOSO_NULL,lr_mean_std
dda,complexity,sub-S09,3,0.5763157894736842,0.44191073256376884,LOSO_NULL,lr_mean_std
dda,complexity,sub-S10,3,0.5421052631578948,0.48631629914078583,LOSO_NULL,lr_mean_std
dda,complexity,sub-S11,3,0.6236842105263158,0.47240631647848136,LOSO_NULL,lr_mean_std
dda,complexity,sub-S12,3,0.6078947368421053,0.444498897329086,LOSO_NULL,lr_mean_std
dda,complexity,sub-S13,3,0.6676923076923077,0.4826849971358642,LOSO_NULL,lr_mean_std
dda,complexity,sub-S14,3,0.45526315789473687,0.48098149413938884,LOSO_NULL,lr_mean_std
dda,complexity,sub-S15,3,0.6763157894736842,0.5147542492450058,LOSO_NULL,lr_mean_std
dda,complexity,sub-S16,3,0.7315789473684211,0.6992361857023511,LOSO_NULL,lr_mean_std
